fat,rate
2.6,16.20
2.7,18.50
2.8,19.80
2.9,19.00
3.0,21.00
3.1,21.20
3.2,22.40
3.3,22.60
3.4,23.80
3.5,24.00
3.6,24.20
3.7,24.40
3.8,25.00
3.9,25.40
4.0,26.00
4.1,26.20
4.2,26.80
4.3,27.00
4.4,27.10
4.5,27.30
